"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Ceratopogonidae",0.59,"family",1.35,1.22,1.21,1.22,1.2,1.22,0.1,0.11,0.1,0.11,0.1,1.23,1.21,1.23,1.22,1.23,0.09,0.1,0.09,0.1,0.09,0.71,0.72,0.71,0.72,0.7,0.5,0.7,0.71,0.71,0.71,0.7,1,1,0.99,0.99,1,0.98,1,0.99,0.99,1,"ANN_rand2.dev-ANN_rand1.dev",0.01
"Prostigmata",0.54,"order",1.38,1.27,1.28,1.27,1.27,1.27,0.08,0.08,0.08,0.08,0.08,1.29,1.28,1.28,1.28,1.28,0.07,0.07,0.07,0.08,0.07,0.69,0.69,0.69,0.7,0.69,0.5,0.67,0.68,0.68,0.68,0.68,0.99,1,0.99,1,1,0.96,0.99,0.98,0.98,0.98,"ANN_rand4.dev-ANN_rand1.dev",0.01
"Psychodidae",0.51,"family",1.39,1.34,1.33,1.33,1.33,1.34,0.04,0.04,0.04,0.04,0.04,1.34,1.34,1.34,1.35,1.35,0.03,0.03,0.03,0.03,0.03,0.63,0.64,0.64,0.63,0.63,0.5,0.63,0.63,0.63,0.62,0.63,1,0.99,0.99,0.99,1,0.99,0.98,0.98,0.97,1,"ANN_rand2.dev-ANN_rand4.dev",0.01
"Leptophlebiidae",0.45,"family",1.38,1.18,1.18,1.17,1.16,1.17,0.14,0.15,0.15,0.16,0.15,1.2,1.2,1.2,1.19,1.19,0.13,0.13,0.13,0.14,0.13,0.73,0.73,0.74,0.74,0.74,0.5,0.72,0.73,0.73,0.73,0.73,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.98,"ANN_rand4.dev-ANN_rand1.dev",0.01
"Sphaeriidae",0.43,"family",1.37,1.05,1.05,1.05,1.06,1.06,0.23,0.23,0.23,0.23,0.23,1.06,1.05,1.06,1.07,1.06,0.22,0.23,0.23,0.22,0.22,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.99,1,0.99,1,1,1,1,1,1,1,"ANN_rand2.dev-ANN_rand4.dev",0.01
"Taeniopterygidae",0.44,"family",1.37,1.18,1.19,1.19,1.18,1.18,0.14,0.13,0.13,0.14,0.14,1.18,1.21,1.2,1.2,1.2,0.14,0.12,0.12,0.13,0.12,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.73,0.74,0.74,0.74,1,0.99,0.99,0.99,0.99,1,0.98,0.99,0.99,0.99,"ANN_rand1.dev-ANN_rand2.dev",0.02
"Perlodidae",0.44,"family",1.37,1.04,1.04,1.03,1.04,1.04,0.24,0.24,0.25,0.24,0.24,1.05,1.06,1.04,1.05,1.06,0.23,0.23,0.24,0.23,0.22,0.82,0.81,0.82,0.81,0.81,0.5,0.81,0.81,0.81,0.81,0.81,0.99,0.99,1,0.99,0.99,1,1,0.99,1,1,"ANN_rand3.dev-ANN_rand5.dev",0.01
"Athericidae",0.36,"family",1.31,1.12,1.12,1.12,1.11,1.12,0.15,0.15,0.15,0.15,0.15,1.13,1.14,1.13,1.12,1.13,0.14,0.13,0.14,0.14,0.14,0.75,0.75,0.75,0.76,0.75,0.5,0.75,0.74,0.74,0.75,0.74,1,0.99,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,"ANN_rand4.dev-ANN_rand2.dev",0.01
"Psychomyiidae",0.34,"family",1.28,1.11,1.1,1.1,1.11,1.1,0.13,0.14,0.14,0.13,0.14,1.13,1.11,1.1,1.12,1.12,0.12,0.13,0.14,0.12,0.13,0.72,0.73,0.73,0.72,0.73,0.5,0.71,0.72,0.73,0.71,0.72,0.99,0.99,1,0.99,0.99,1,0.99,1,0.99,0.99,"ANN_rand3.dev-ANN_rand1.dev",0.02
"Nematoda",0.33,"phylum",1.27,1.25,1.24,1.24,1.24,1.25,0.02,0.02,0.02,0.02,0.02,1.25,1.25,1.25,1.25,1.25,0.02,0.02,0.02,0.02,0.02,0.59,0.6,0.6,0.6,0.59,0.5,0.59,0.59,0.58,0.59,0.59,1,1,1,1,1,0.99,0.99,0.98,0.98,1,"ANN_rand2.dev-ANN_rand3.dev",0
