"iGLM.dev.pred","hGLM.dev.pred","chGLM.dev.pred","GAM.dev.pred","SVM.dev.pred","BCT.dev.pred","RF.dev.pred","ANN.dev.pred","Taxa","Prevalence","Taxonomic level","Null_model","expl.pow_iGLM","expl.pow_hGLM","expl.pow_chGLM","expl.pow_GAM","expl.pow_SVM","expl.pow_BCT","expl.pow_RF","expl.pow_ANN","iGLM.auc.pred","hGLM.auc.pred","chGLM.auc.pred","GAM.auc.pred","SVM.auc.pred","BCT.auc.pred","RF.auc.pred","ANN.auc.pred","Null_model.auc"
1.09,1.09,1.09,1.04,1.03,0.95,0.29,1.06,"Sericostomatidae",0.28,"family",1.18,0.08,0.07,0.07,0.12,0.13,0.19,0.75,0.1,0.69,0.68,0.68,0.73,0.79,0.8,1,0.71,0.5
1.14,1.15,1.15,1.13,1.11,1.1,0.4,1.15,"Tipulidae",0.27,"family",1.18,0.03,0.02,0.03,0.04,0.06,0.07,0.66,0.02,0.62,0.61,0.61,0.63,0.72,0.69,0.99,0.61,0.5
1.09,1.09,1.09,1.02,0.99,0.93,0.29,1.08,"Polycentropodidae",0.26,"family",1.14,0.05,0.04,0.04,0.1,0.13,0.18,0.75,0.06,0.64,0.64,0.64,0.72,0.8,0.8,1,0.64,0.5
1.01,1.02,1.02,0.95,0.99,0.88,0.27,1.03,"Odontoceridae",0.25,"family",1.12,0.09,0.09,0.09,0.15,0.11,0.21,0.76,0.08,0.71,0.7,0.71,0.76,0.8,0.82,1,0.69,0.5
0.99,1,1,0.96,0.96,0.88,0.27,0.99,"Dugesiidae",0.22,"family",1.06,0.06,0.06,0.06,0.09,0.09,0.17,0.74,0.07,0.67,0.67,0.66,0.71,0.79,0.79,1,0.68,0.5
0.94,0.94,0.94,0.9,0.94,0.84,0.27,0.94,"Lymnaeidae",0.22,"family",1.05,0.11,0.1,0.11,0.14,0.11,0.2,0.74,0.1,0.73,0.73,0.73,0.76,0.82,0.81,1,0.72,0.5
0.79,0.79,0.79,0.76,0.78,0.7,0.21,0.79,"Erpobdellidae",0.21,"family",1.03,0.24,0.23,0.23,0.26,0.24,0.32,0.79,0.23,0.82,0.82,0.82,0.84,0.85,0.88,1,0.82,0.5
0.87,0.87,0.87,0.84,0.88,0.82,0.24,0.88,"Scirtidae",0.2,"family",0.99,0.12,0.12,0.12,0.15,0.11,0.17,0.75,0.11,0.74,0.74,0.74,0.77,0.8,0.79,1,0.73,0.5
0.81,0.81,0.81,0.76,0.71,0.69,0.19,0.83,"Ephemerellidae",0.2,"family",1,0.19,0.18,0.19,0.24,0.29,0.31,0.81,0.17,0.79,0.79,0.79,0.82,0.86,0.87,1,0.77,0.5
0.74,0.74,0.74,0.71,0.75,0.66,0.2,0.73,"Asellidae",0.19,"family",0.97,0.24,0.24,0.24,0.27,0.23,0.33,0.8,0.24,0.84,0.83,0.84,0.85,0.85,0.88,1,0.83,0.5
0.81,0.81,0.82,0.76,0.78,0.7,0.19,0.79,"Ephemeridae",0.18,"family",0.94,0.14,0.14,0.13,0.19,0.16,0.26,0.79,0.16,0.75,0.75,0.74,0.79,0.86,0.85,1,0.77,0.5
0.72,0.73,0.73,0.68,0.79,0.62,0.2,0.74,"Chloroperlidae",0.18,"family",0.95,0.24,0.24,0.24,0.29,0.17,0.35,0.79,0.22,0.84,0.83,0.83,0.86,0.86,0.89,1,0.81,0.5
0.86,0.86,0.86,0.81,0.81,0.76,0.23,0.86,"Dytiscidae",0.16,"family",0.89,0.04,0.04,0.03,0.09,0.1,0.15,0.74,0.04,0.65,0.64,0.64,0.71,0.83,0.78,1,0.65,0.5
0.87,0.87,0.87,0.83,0.87,0.78,0.28,0.87,"Stratiomyidae",0.17,"family",0.92,0.05,0.05,0.05,0.09,0.05,0.15,0.7,0.05,0.66,0.65,0.65,0.71,0.75,0.79,1,0.66,0.5
0.74,0.74,0.74,0.72,0.78,0.67,0.22,0.75,"Hydroptilidae",0.16,"family",0.87,0.15,0.15,0.15,0.17,0.1,0.23,0.74,0.14,0.77,0.77,0.77,0.79,0.83,0.83,1,0.77,0.5
0.61,0.62,0.62,0.58,0.69,0.55,0.17,0.62,"Hydrobiidae",0.14,"family",0.8,0.23,0.23,0.23,0.27,0.13,0.31,0.78,0.22,0.83,0.83,0.83,0.85,0.84,0.88,1,0.83,0.5
