"Taxa","Prevalence","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"Lymnaeidae",0.22,0.72,0.72,0.72,0.73,0.67,0.73,0.76,0.71,0.72,0.72,0.71,0.71
"Erpobdellidae",0.21,0.82,0.81,0.81,0.81,0.78,0.82,0.84,0.82,0.81,0.81,0.82,0.82
"Scirtidae",0.2,0.72,0.72,0.73,0.73,0.68,0.74,0.75,0.68,0.66,0.7,0.7,0.68
"Ephemerellidae",0.2,0.79,0.78,0.78,0.8,0.79,0.8,0.83,0.76,0.76,0.73,0.74,0.73
"Asellidae",0.19,0.83,0.83,0.83,0.83,0.77,0.83,0.83,0.81,0.83,0.82,0.82,0.82
"Ephemeridae",0.18,0.74,0.73,0.73,0.76,0.73,0.76,0.8,0.74,0.74,0.74,0.73,0.75
"Chloroperlidae",0.18,0.82,0.81,0.82,0.84,0.77,0.85,0.86,0.81,0.8,0.81,0.81,0.79
"Dytiscidae",0.16,0.63,0.63,0.6,0.68,0.62,0.68,0.7,0.65,0.63,0.64,0.64,0.64
"Stratiomyidae",0.17,0.64,0.63,0.63,0.67,0.62,0.68,0.68,0.64,0.64,0.65,0.63,0.63
"Hydroptilidae",0.16,0.76,0.77,0.76,0.77,0.67,0.77,0.76,0.75,0.75,0.76,0.76,0.76
"Hydrobiidae",0.14,0.83,0.83,0.83,0.83,0.75,0.84,0.85,0.82,0.82,0.82,0.82,0.83
"Perlidae",0.14,0.84,0.84,0.84,0.86,0.82,0.87,0.87,0.84,0.82,0.82,0.82,0.83
"Planorbidae",0.13,0.8,0.8,0.8,0.81,0.74,0.81,0.81,0.78,0.79,0.78,0.78,0.79
"Glossosomatidae",0.12,0.75,0.74,0.74,0.76,0.73,0.77,0.77,0.73,0.73,0.72,0.72,0.73
"Blephariceridae",0.12,0.91,0.91,0.91,0.91,0.83,0.91,0.92,0.9,0.9,0.9,0.9,0.89
"Glossiphoniidae",0.11,0.81,0.81,0.81,0.81,0.75,0.81,0.82,0.78,0.79,0.78,0.78,0.78
"Capniidae",0.1,0.88,0.87,0.87,0.89,0.87,0.89,0.89,0.88,0.86,0.89,0.88,0.88
"Goeridae",0.09,0.69,0.66,0.68,0.68,0.6,0.7,0.72,0.57,0.59,0.58,0.57,0.58
"Philopotamidae",0.09,0.86,0.86,0.86,0.86,0.78,0.87,0.87,0.84,0.84,0.84,0.84,0.84
"Dixidae",0.09,0.85,0.85,0.85,0.86,0.76,0.85,0.85,0.8,0.78,0.8,0.77,0.79
"Gyrinidae",0.08,0.83,0.83,0.82,0.83,0.74,0.83,0.86,0.8,0.79,0.78,0.79,0.79
"Caenidae",0.08,0.83,0.83,0.83,0.83,0.78,0.84,0.84,0.79,0.78,0.77,0.77,0.81
"Leptoceridae",0.08,0.84,0.84,0.84,0.83,0.78,0.83,0.85,0.81,0.8,0.79,0.79,0.82
"Calopterygidae",0.08,0.8,0.8,0.8,0.81,0.7,0.81,0.81,0.79,0.81,0.81,0.79,0.81
"Tabanidae",0.07,0.7,0.68,0.71,0.72,0.59,0.71,0.67,0.64,0.68,0.68,0.68,0.68
"Pediciidae",0.07,0.76,0.74,0.75,0.82,0.75,0.84,0.83,0.69,0.67,0.69,0.65,0.67
"Cordulegastridae",0.07,0.77,0.77,0.75,0.78,0.65,0.77,0.77,0.64,0.65,0.66,0.67,0.65
"Anthomyiidae",0.07,0.58,0.55,0.52,0.59,0.59,0.56,0.64,0.52,0.52,0.55,0.53,0.58
"Lepidostomatidae",0.06,0.78,0.78,0.79,0.79,0.74,0.79,0.81,0.81,0.78,0.79,0.8,0.79
"Physidae",0.06,0.8,0.79,0.79,0.79,0.66,0.79,0.77,0.76,0.76,0.76,0.75,0.77
"Sialidae",0.05,0.72,0.71,0.71,0.71,0.57,0.71,0.69,0.58,0.59,0.56,0.56,0.55
