"Metric","Stat","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN"
"AUC","min","0.57","0.55","0.52","0.59","0.57","0.56","0.61","0.55"
"AUC","median","0.76","0.745","0.75","0.77","0.73","0.77","0.785","0.74"
"AUC","max","0.91","0.91","0.91","0.92","0.91","0.92","0.92","0.9"
"Standardize
deviance","min","0.38","0.39","0.38","0.39","0.41","0.38","0.37","0.4"
"Standardize
deviance","median","0.81","0.815","0.82","0.8","0.86","0.795","0.765","0.8"
"Standardize
deviance","max","1.35","1.35","1.35","1.32","1.3","1.3","1.28","1.35"
