"Metric","Stat","ANN_rand1","ANN_rand2","ANN_rand3","ANN_rand4","ANN_rand5"
"AUC","min","0.53","0.53","0.57","0.54","0.54"
"AUC","median","0.74","0.73","0.735","0.73","0.735"
"AUC","max","0.9","0.9","0.9","0.9","0.9"
"Standardize
deviance","min","0.39","0.4","0.4","0.39","0.4"
"Standardize
deviance","median","0.81","0.81","0.82","0.805","0.815"
"Standardize
deviance","max","1.34","1.34","1.34","1.35","1.35"
