"Taxa","Prevalence","Taxonomic level","Null_model","ANN_rand1.dev.fit","ANN_rand2.dev.fit","ANN_rand3.dev.fit","ANN_rand4.dev.fit","ANN_rand5.dev.fit","expl.pow_ANN_rand1.dev.fit","expl.pow_ANN_rand2.dev.fit","expl.pow_ANN_rand3.dev.fit","expl.pow_ANN_rand4.dev.fit","expl.pow_ANN_rand5.dev.fit","ANN_rand1.dev.pred","ANN_rand2.dev.pred","ANN_rand3.dev.pred","ANN_rand4.dev.pred","ANN_rand5.dev.pred","expl.pow_ANN_rand1.dev.pred","expl.pow_ANN_rand2.dev.pred","expl.pow_ANN_rand3.dev.pred","expl.pow_ANN_rand4.dev.pred","expl.pow_ANN_rand5.dev.pred","ANN_rand1.auc.fit","ANN_rand2.auc.fit","ANN_rand3.auc.fit","ANN_rand4.auc.fit","ANN_rand5.auc.fit","Null_model.auc","ANN_rand1.auc.pred","ANN_rand2.auc.pred","ANN_rand3.auc.pred","ANN_rand4.auc.pred","ANN_rand5.auc.pred","ANN_rand1.likelihood.ratio","ANN_rand2.likelihood.ratio","ANN_rand3.likelihood.ratio","ANN_rand4.likelihood.ratio","ANN_rand5.likelihood.ratio","ANN_rand1.auc.ratio","ANN_rand2.auc.ratio","ANN_rand3.auc.ratio","ANN_rand4.auc.ratio","ANN_rand5.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff"
"Ceratopogonidae",0.59,"family",1.35,1.24,1.23,1.22,1.21,1.21,0.08,0.09,0.09,0.1,0.1,1.17,1.15,1.15,1.17,1.19,0.14,0.15,0.15,0.13,0.12,0.71,0.71,0.72,0.72,0.73,0.5,0.69,0.69,0.7,0.69,0.71,1.04,1.04,1.04,1.02,1.01,0.97,0.97,0.98,0.95,0.98,"ANN_rand3.dev-ANN_rand5.dev",0.03
"Prostigmata",0.54,"order",1.38,1.3,1.3,1.3,1.29,1.29,0.06,0.06,0.06,0.07,0.07,1.22,1.26,1.21,1.23,1.2,0.11,0.09,0.12,0.11,0.13,0.67,0.66,0.66,0.67,0.68,0.5,0.63,0.6,0.58,0.65,0.67,1.04,1.02,1.05,1.03,1.05,0.94,0.92,0.87,0.98,0.98,"ANN_rand5.dev-ANN_rand2.dev",0.04
"Psychodidae",0.51,"family",1.39,1.34,1.35,1.34,1.34,1.33,0.03,0.03,0.03,0.03,0.04,1.33,1.33,1.35,1.31,1.32,0.04,0.04,0.03,0.05,0.05,0.62,0.61,0.62,0.62,0.64,0.5,0.66,0.66,0.65,0.68,0.7,1.01,1.01,1,1.01,1,1.06,1.08,1.04,1.08,1.1,"ANN_rand4.dev-ANN_rand3.dev",0.02
"Leptophlebiidae",0.45,"family",1.38,1.14,1.15,1.16,1.13,1.16,0.17,0.17,0.16,0.18,0.16,1.3,1.29,1.26,1.27,1.28,0.05,0.07,0.08,0.07,0.07,0.75,0.75,0.75,0.76,0.75,0.5,0.66,0.66,0.68,0.68,0.66,0.92,0.93,0.95,0.93,0.94,0.88,0.87,0.91,0.89,0.89,"ANN_rand3.dev-ANN_rand1.dev",0.03
"Sphaeriidae",0.43,"family",1.37,1,1,0.97,0.99,0.97,0.27,0.27,0.29,0.27,0.29,1.29,1.28,1.27,1.24,1.22,0.05,0.07,0.07,0.09,0.11,0.82,0.82,0.83,0.82,0.83,0.5,0.72,0.73,0.7,0.72,0.72,0.86,0.87,0.86,0.88,0.88,0.87,0.89,0.85,0.88,0.87,"ANN_rand5.dev-ANN_rand1.dev",0.05
"Taeniopterygidae",0.44,"family",1.37,1.21,1.19,1.22,1.19,1.22,0.12,0.13,0.11,0.13,0.11,1.14,1.13,1.13,1.09,1.17,0.17,0.18,0.17,0.21,0.14,0.73,0.75,0.72,0.74,0.73,0.5,0.79,0.77,0.77,0.79,0.74,1.03,1.03,1.05,1.05,1.02,1.08,1.03,1.06,1.06,1.02,"ANN_rand4.dev-ANN_rand5.dev",0.06
"Perlodidae",0.44,"family",1.37,1.08,1.08,1.08,1.08,1.09,0.21,0.21,0.21,0.21,0.21,0.89,0.92,0.92,0.88,0.92,0.35,0.33,0.33,0.36,0.33,0.8,0.8,0.8,0.8,0.79,0.5,0.87,0.88,0.86,0.86,0.85,1.1,1.08,1.08,1.11,1.09,1.09,1.09,1.07,1.08,1.08,"ANN_rand4.dev-ANN_rand3.dev",0.03
"Athericidae",0.36,"family",1.31,1.14,1.14,1.14,1.14,1.15,0.13,0.13,0.13,0.13,0.12,1.03,1.05,1.03,0.99,1.04,0.21,0.2,0.21,0.24,0.21,0.75,0.75,0.75,0.75,0.74,0.5,0.74,0.76,0.77,0.78,0.77,1.06,1.05,1.06,1.08,1.06,0.99,1,1.03,1.04,1.04,"ANN_rand4.dev-ANN_rand2.dev",0.04
"Psychomyiidae",0.34,"family",1.28,1.04,1.03,1.02,1.02,1.01,0.19,0.19,0.2,0.2,0.21,1.41,1.36,1.32,1.34,1.3,-0.1,-0.06,-0.03,-0.05,-0.02,0.77,0.77,0.79,0.78,0.79,0.5,0.56,0.55,0.59,0.55,0.57,0.83,0.85,0.86,0.85,0.87,0.72,0.71,0.75,0.71,0.72,"ANN_rand5.dev-ANN_rand1.dev",0.09
"Nematoda",0.33,"phylum",1.27,1.23,1.23,1.23,1.23,1.23,0.03,0.03,0.03,0.03,0.03,1.32,1.31,1.32,1.29,1.3,-0.04,-0.04,-0.04,-0.02,-0.02,0.6,0.6,0.6,0.61,0.61,0.5,0.48,0.52,0.53,0.57,0.48,0.96,0.96,0.96,0.97,0.96,0.81,0.87,0.88,0.93,0.79,"ANN_rand4.dev-ANN_rand3.dev",0.02
"Hydraenidae",0.32,"family",1.25,1.14,1.14,1.14,1.12,1.14,0.09,0.08,0.09,0.1,0.09,0.98,0.99,0.98,0.96,0.96,0.21,0.21,0.22,0.23,0.23,0.73,0.72,0.73,0.73,0.73,0.5,0.67,0.68,0.68,0.71,0.73,1.08,1.08,1.09,1.09,1.09,0.92,0.94,0.94,0.96,1.01,"ANN_rand5.dev-ANN_rand2.dev",0.02
"Planariidae",0.32,"family",1.26,1.25,1.25,1.25,1.25,1.24,0,0.01,0.01,0,0.01,1.08,1.08,1.08,1.07,1.07,0.14,0.14,0.14,0.15,0.15,0.61,0.6,0.61,0.61,0.62,0.5,0.49,0.54,0.49,0.55,0.46,1.09,1.09,1.09,1.09,1.09,0.8,0.9,0.8,0.91,0.75,"ANN_rand5.dev-ANN_rand1.dev",0.01
"Sericostomatidae",0.28,"family",1.18,1.09,1.09,1.1,1.09,1.09,0.07,0.07,0.07,0.08,0.07,1.04,1.05,1,0.99,1.02,0.12,0.11,0.15,0.16,0.14,0.69,0.69,0.69,0.7,0.69,0.5,0.68,0.65,0.71,0.73,0.72,1.03,1.02,1.05,1.05,1.04,0.98,0.95,1.03,1.04,1.04,"ANN_rand4.dev-ANN_rand2.dev",0.05
"Tipulidae",0.27,"family",1.18,1.13,1.13,1.14,1.13,1.14,0.04,0.04,0.03,0.04,0.03,1.27,1.28,1.28,1.27,1.28,-0.08,-0.09,-0.09,-0.08,-0.09,0.57,0.58,0.57,0.58,0.56,0.5,0.58,0.59,0.54,0.59,0.55,0.94,0.93,0.93,0.93,0.93,1.02,1.01,0.94,1.01,0.98,"ANN_rand1.dev-ANN_rand2.dev",0.01
"Polycentropodidae",0.26,"family",1.14,1.03,1.04,1.03,1.03,1.04,0.09,0.09,0.1,0.1,0.09,1.26,1.26,1.27,1.28,1.27,-0.1,-0.1,-0.11,-0.12,-0.11,0.64,0.64,0.66,0.66,0.65,0.5,0.51,0.47,0.54,0.56,0.54,0.89,0.9,0.89,0.88,0.89,0.79,0.73,0.82,0.86,0.84,"ANN_rand2.dev-ANN_rand4.dev",0.02
"Odontoceridae",0.25,"family",1.12,1.03,1.03,1.03,1.01,1.02,0.08,0.07,0.08,0.09,0.09,1.06,1.04,1.02,1.01,0.98,0.05,0.07,0.09,0.09,0.12,0.71,0.7,0.7,0.73,0.73,0.5,0.57,0.56,0.58,0.63,0.67,0.98,1,1.01,1,1.02,0.81,0.81,0.82,0.86,0.92,"ANN_rand5.dev-ANN_rand1.dev",0.07
"Dugesiidae",0.22,"family",1.06,0.93,0.93,0.93,0.93,0.93,0.12,0.12,0.12,0.12,0.12,1.27,1.27,1.25,1.25,1.26,-0.2,-0.2,-0.18,-0.18,-0.19,0.68,0.67,0.68,0.67,0.67,0.5,0.51,0.51,0.52,0.49,0.51,0.85,0.84,0.85,0.85,0.85,0.75,0.75,0.77,0.73,0.75,"ANN_rand4.dev-ANN_rand2.dev",0.02
"Lymnaeidae",0.22,"family",1.05,0.87,0.86,0.86,0.86,0.86,0.17,0.18,0.18,0.18,0.18,1.23,1.25,1.24,1.28,1.25,-0.17,-0.2,-0.18,-0.22,-0.19,0.74,0.75,0.75,0.75,0.75,0.5,0.56,0.54,0.55,0.52,0.54,0.83,0.82,0.83,0.81,0.82,0.76,0.73,0.73,0.69,0.72,"ANN_rand1.dev-ANN_rand4.dev",0.05
"Erpobdellidae",0.21,"family",1.03,0.67,0.66,0.66,0.66,0.66,0.35,0.36,0.36,0.36,0.36,1.39,1.45,1.44,1.36,1.34,-0.35,-0.41,-0.4,-0.32,-0.3,0.8,0.8,0.8,0.8,0.81,0.5,0.72,0.68,0.69,0.69,0.71,0.7,0.67,0.68,0.71,0.71,0.9,0.85,0.86,0.86,0.88,"ANN_rand5.dev-ANN_rand2.dev",0.1
"Scirtidae",0.2,"family",0.99,0.99,0.97,0.98,0.96,0.97,0,0.01,0.01,0.03,0.02,0.66,0.63,0.63,0.61,0.56,0.34,0.36,0.37,0.38,0.44,0.7,0.71,0.7,0.72,0.72,0.5,0.64,0.65,0.62,0.66,0.61,1.18,1.19,1.19,1.19,1.23,0.92,0.91,0.89,0.91,0.85,"ANN_rand5.dev-ANN_rand1.dev",0.1
"Ephemerellidae",0.2,"family",1,0.78,0.77,0.79,0.75,0.75,0.22,0.22,0.21,0.25,0.24,1.24,1.29,1.31,1.23,1.22,-0.25,-0.29,-0.32,-0.24,-0.23,0.74,0.74,0.73,0.77,0.77,0.5,0.62,0.59,0.64,0.63,0.65,0.79,0.77,0.77,0.79,0.79,0.84,0.8,0.87,0.82,0.84,"ANN_rand5.dev-ANN_rand3.dev",0.09
"Asellidae",0.19,"family",0.97,0.63,0.62,0.63,0.62,0.63,0.35,0.36,0.35,0.36,0.35,1.17,1.21,1.23,1.19,1.21,-0.21,-0.24,-0.26,-0.22,-0.24,0.84,0.84,0.83,0.84,0.84,0.5,0.74,0.72,0.72,0.72,0.72,0.76,0.75,0.74,0.75,0.75,0.89,0.85,0.87,0.85,0.86,"ANN_rand1.dev-ANN_rand3.dev",0.06
"Ephemeridae",0.18,"family",0.94,0.74,0.75,0.76,0.74,0.74,0.21,0.2,0.19,0.22,0.21,1.07,1.08,1.07,1.06,1.04,-0.14,-0.16,-0.14,-0.13,-0.11,0.78,0.76,0.74,0.77,0.77,0.5,0.68,0.63,0.63,0.65,0.71,0.85,0.85,0.86,0.85,0.86,0.88,0.82,0.85,0.85,0.93,"ANN_rand5.dev-ANN_rand2.dev",0.05
"Chloroperlidae",0.18,"family",0.95,0.83,0.82,0.82,0.81,0.83,0.13,0.14,0.14,0.15,0.13,0.49,0.52,0.5,0.49,0.5,0.49,0.45,0.47,0.49,0.48,0.79,0.8,0.8,0.81,0.78,0.5,0.88,0.87,0.87,0.87,0.87,1.18,1.16,1.17,1.17,1.18,1.11,1.09,1.1,1.07,1.11,"ANN_rand4.dev-ANN_rand2.dev",0.04
"Dytiscidae",0.16,"family",0.89,0.84,0.84,0.85,0.84,0.84,0.05,0.06,0.05,0.06,0.06,0.96,0.97,0.96,0.95,0.96,-0.08,-0.08,-0.08,-0.06,-0.07,0.64,0.63,0.62,0.66,0.66,0.5,0.61,0.58,0.61,0.64,0.64,0.94,0.94,0.94,0.95,0.94,0.95,0.91,0.97,0.97,0.97,"ANN_rand4.dev-ANN_rand2.dev",0.02
"Stratiomyidae",0.17,"family",0.92,0.89,0.89,0.91,0.89,0.89,0.02,0.03,0.01,0.03,0.03,0.84,0.84,0.88,0.83,0.83,0.08,0.08,0.04,0.1,0.1,0.62,0.63,0.6,0.64,0.65,0.5,0.74,0.73,0.71,0.79,0.76,1.03,1.02,1.01,1.03,1.03,1.18,1.15,1.18,1.24,1.17,"ANN_rand4.dev-ANN_rand3.dev",0.06
"Hydroptilidae",0.16,"family",0.87,0.63,0.62,0.62,0.62,0.62,0.28,0.28,0.28,0.29,0.29,1.32,1.37,1.38,1.36,1.29,-0.52,-0.58,-0.58,-0.57,-0.49,0.75,0.74,0.75,0.76,0.75,0.5,0.58,0.57,0.61,0.59,0.58,0.71,0.69,0.69,0.69,0.71,0.77,0.77,0.82,0.78,0.77,"ANN_rand5.dev-ANN_rand3.dev",0.1
